               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078619,            0.041746,            0.030849,             0.43814,             0.28947,             0.16883,            0.064261,            0.058668,            0.028488,            0.021215,            0.070135,           0.0033183,           0.0033183
                   1,            0.058502,            0.032669,            0.014535,             0.48361,             0.47156,             0.39194,             0.18037,            0.051681,            0.025423,            0.013858,            0.040113,           0.0066297,           0.0066297
                   2,            0.051013,            0.029474,           0.0094275,               0.566,             0.65978,             0.58968,             0.27777,            0.043704,            0.023946,           0.0079406,            0.010069,           0.0099191,           0.0099191
                   3,            0.044852,            0.027811,            0.006377,             0.71447,             0.69929,             0.72385,             0.37214,            0.038576,            0.023687,           0.0058714,            0.009901,            0.009901,            0.009901
                   4,            0.040601,            0.027085,           0.0050619,              0.7085,             0.73014,             0.73728,             0.40857,            0.037137,            0.022841,           0.0049763,            0.009901,            0.009901,            0.009901
                   5,            0.038604,            0.026518,           0.0045015,             0.80098,             0.74907,             0.80294,             0.47545,            0.034494,            0.022333,           0.0044578,            0.009868,            0.009868,            0.009868
                   6,            0.036862,            0.025452,           0.0041844,             0.80067,             0.69582,             0.75583,             0.43051,            0.035121,            0.024143,           0.0051263,            0.009835,            0.009835,            0.009835
                   7,            0.035839,            0.025312,           0.0037584,             0.82003,             0.76329,             0.81654,             0.48251,            0.033497,            0.022092,           0.0042562,            0.009802,            0.009802,            0.009802
                   8,            0.034805,            0.024696,           0.0033938,             0.81036,             0.77058,             0.81518,             0.47795,            0.032504,            0.021993,           0.0041968,            0.009769,            0.009769,            0.009769
                   9,            0.034129,            0.024476,           0.0033908,             0.83764,             0.75562,             0.82503,             0.50275,             0.03164,            0.022098,           0.0035853,            0.009736,            0.009736,            0.009736
                  10,            0.033327,            0.023979,            0.003074,              0.8547,             0.79849,             0.86454,             0.52735,            0.030992,             0.02147,           0.0032396,            0.009703,            0.009703,            0.009703
                  11,            0.032811,            0.023794,             0.00289,             0.88418,             0.77807,             0.84407,             0.50977,            0.031036,            0.021419,           0.0034503,             0.00967,             0.00967,             0.00967
                  12,            0.032547,            0.023439,           0.0027965,             0.85887,             0.78077,             0.84689,             0.52238,            0.031103,             0.02176,           0.0035829,            0.009637,            0.009637,            0.009637
                  13,            0.032484,            0.023716,           0.0028845,             0.86377,             0.81612,             0.87841,              0.5477,            0.030209,             0.02095,           0.0028863,            0.009604,            0.009604,            0.009604
                  14,            0.031566,            0.022897,           0.0025814,             0.86938,             0.83216,             0.87912,             0.56485,            0.029451,            0.020636,           0.0027996,            0.009571,            0.009571,            0.009571
                  15,            0.031087,             0.02288,           0.0025676,              0.8729,             0.80638,             0.86362,             0.55032,             0.02939,            0.021193,           0.0029908,            0.009538,            0.009538,            0.009538
                  16,            0.030339,            0.022464,           0.0024448,             0.89472,             0.81662,             0.87946,             0.56243,            0.028764,            0.020765,           0.0030053,            0.009505,            0.009505,            0.009505
                  17,             0.03046,            0.022585,            0.002285,             0.88148,             0.82012,             0.87911,             0.57414,            0.028498,            0.020527,           0.0026728,            0.009472,            0.009472,            0.009472
                  18,            0.029911,            0.021801,           0.0022514,             0.87251,             0.82468,             0.87302,             0.55553,             0.02937,            0.020962,           0.0028634,            0.009439,            0.009439,            0.009439
                  19,            0.029358,            0.021586,           0.0021346,             0.89316,              0.8504,             0.89986,             0.58997,            0.027943,             0.02038,           0.0024059,            0.009406,            0.009406,            0.009406
                  20,            0.028892,            0.021377,           0.0022215,             0.86139,             0.81718,             0.87329,             0.55987,            0.028452,            0.021085,           0.0029092,            0.009373,            0.009373,            0.009373
                  21,              0.0285,            0.021108,           0.0020656,             0.87659,             0.82417,             0.88146,              0.5689,            0.028372,            0.020733,             0.00238,             0.00934,             0.00934,             0.00934
                  22,            0.028059,            0.020922,           0.0020074,             0.88704,             0.83256,             0.88284,             0.58634,            0.027747,            0.021012,           0.0025724,            0.009307,            0.009307,            0.009307
                  23,            0.028046,            0.021058,           0.0019227,             0.89467,             0.83027,             0.88393,             0.59324,             0.02787,            0.020388,           0.0023602,            0.009274,            0.009274,            0.009274
                  24,             0.02777,            0.020631,           0.0019424,             0.90547,             0.81579,             0.88617,             0.59092,            0.027925,            0.020962,           0.0023774,            0.009241,            0.009241,            0.009241
                  25,            0.027644,            0.020683,           0.0018916,             0.88469,             0.84313,             0.89777,             0.60067,            0.027264,            0.019995,           0.0022169,            0.009208,            0.009208,            0.009208
                  26,            0.027367,            0.020094,           0.0018878,             0.90331,             0.83187,             0.89257,             0.60759,            0.027094,            0.020562,           0.0022772,            0.009175,            0.009175,            0.009175
                  27,            0.027042,            0.020334,           0.0018843,             0.88745,             0.84958,             0.89521,             0.59901,            0.027114,            0.020532,           0.0024395,            0.009142,            0.009142,            0.009142
                  28,            0.026879,            0.019829,           0.0017869,             0.88859,             0.86186,             0.89561,             0.59939,            0.026949,            0.020219,           0.0023682,            0.009109,            0.009109,            0.009109
                  29,            0.026654,            0.019925,           0.0017275,             0.90631,             0.83072,             0.88613,             0.59405,            0.026978,            0.020631,           0.0022632,            0.009076,            0.009076,            0.009076
                  30,            0.026284,            0.019723,           0.0017703,             0.88184,             0.86926,             0.90564,             0.61294,            0.026615,            0.020159,           0.0022295,            0.009043,            0.009043,            0.009043
                  31,            0.026213,            0.019391,           0.0016471,              0.9006,             0.86226,             0.90905,             0.61212,            0.026729,            0.020013,           0.0022632,             0.00901,             0.00901,             0.00901
                  32,            0.026093,            0.019762,            0.001627,             0.90078,             0.84919,             0.90031,             0.60589,            0.026395,            0.020229,           0.0022705,            0.008977,            0.008977,            0.008977
                  33,             0.02601,            0.019298,           0.0016127,             0.90454,             0.85768,             0.89952,             0.60396,            0.026721,            0.020117,           0.0023093,            0.008944,            0.008944,            0.008944
                  34,            0.025756,            0.019494,             0.00159,             0.89563,             0.85453,             0.90152,             0.61749,            0.026259,            0.020124,           0.0021159,            0.008911,            0.008911,            0.008911
                  35,            0.025585,            0.019557,           0.0015769,             0.88955,             0.85247,              0.8963,              0.6162,            0.025949,            0.020107,           0.0022765,            0.008878,            0.008878,            0.008878
                  36,            0.025502,            0.018996,           0.0015844,             0.89333,              0.8532,             0.89362,             0.61837,            0.026086,            0.020036,           0.0021944,            0.008845,            0.008845,            0.008845
                  37,            0.025226,            0.019179,           0.0015739,             0.90796,             0.85215,             0.90967,             0.62658,             0.02576,            0.020483,           0.0021839,            0.008812,            0.008812,            0.008812
                  38,            0.025448,            0.019141,           0.0015501,             0.91919,             0.85653,              0.9127,             0.63164,            0.025611,            0.019857,           0.0019955,            0.008779,            0.008779,            0.008779
                  39,            0.024966,            0.019107,            0.001515,             0.89606,             0.86849,             0.90428,             0.63117,            0.025602,            0.019998,           0.0020446,            0.008746,            0.008746,            0.008746
